Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.15,-.27,-.04,-.35,-.12,-.01,-.82,-.44,-.25,-.15,-.08,-.03,.05,.65
1881,-.07,-.16,.01,-.32,.11,-.06,-.92,-.41,-.17,.10,.13,-.04,-.07,.57
1882,-.10,-.20,.00,-.29,-.04,.02,-1.41,-.24,-.12,-.04,-.03,.02,.04,.60
1883,-.17,-.28,-.06,-.34,-.16,-.01,-.19,-.53,-.26,-.18,-.14,-.03,.07,.48
1884,-.27,-.42,-.14,-.59,-.14,-.14,-1.31,-.61,-.46,-.13,-.15,-.18,-.02,.63
1885,-.32,-.43,-.24,-.64,-.12,-.27,-1.52,-.66,-.45,-.06,-.19,-.33,-.15,.80
1886,-.31,-.42,-.19,-.56,-.19,-.21,-1.60,-.49,-.39,-.21,-.17,-.19,-.20,.57
1887,-.35,-.43,-.28,-.52,-.29,-.28,-1.77,-.50,-.28,-.29,-.29,-.27,-.26,.30
1888,-.17,-.23,-.11,-.41,.10,-.29,-1.32,-.42,-.23,.07,.14,-.30,-.22,.14
1889,-.10,-.17,-.03,-.28,.09,-.16,-.69,-.21,-.26,.02,.16,-.15,-.15,.43
1890,-.34,-.38,-.31,-.44,-.36,-.22,-1.14,-.54,-.26,-.26,-.46,-.17,-.27,.13
1891,-.22,-.25,-.18,-.42,-.07,-.21,-1.13,-.33,-.36,.01,-.15,-.17,-.24,-.18
1892,-.27,-.39,-.15,-.43,-.29,-.08,-1.16,-.65,-.16,-.33,-.25,.03,-.21,.07
1893,-.31,-.47,-.15,-.51,-.35,-.04,-.69,-.54,-.46,-.41,-.29,.07,-.20,-.06
1894,-.29,-.38,-.21,-.31,-.33,-.24,-.95,-.31,-.18,-.48,-.17,-.14,-.35,-.40
1895,-.22,-.30,-.14,-.40,-.06,-.25,-.68,-.52,-.26,-.14,.01,-.19,-.32,-.60
1896,-.11,-.19,-.02,-.34,.10,-.15,-.88,-.36,-.22,.06,.15,-.14,-.13,.23
1897,-.10,-.16,-.05,-.35,.17,-.23,-.56,-.46,-.23,.14,.21,-.18,-.27,.38
1898,-.27,-.28,-.26,-.35,-.22,-.26,-1.18,-.23,-.22,-.18,-.26,-.27,-.21,.35
1899,-.17,-.21,-.14,-.25,-.12,-.18,-1.08,-.10,-.15,-.16,-.08,-.15,-.22,.56
1900,-.08,-.09,-.06,-.21,.18,-.30,-.59,-.16,-.15,.09,.26,-.28,-.29,.25
1901,-.15,-.13,-.18,-.17,-.03,-.30,-.46,-.11,-.14,-.05,-.01,-.27,-.33,.24
1902,-.28,-.33,-.22,-.53,-.03,-.35,-1.43,-.51,-.32,-.02,-.05,-.27,-.43,-.07
1903,-.37,-.38,-.36,-.47,-.28,-.38,-.30,-.42,-.55,-.23,-.33,-.35,-.40,-.49
1904,-.46,-.48,-.45,-.51,-.45,-.44,-.19,-.59,-.54,-.43,-.47,-.37,-.49,-1.32
1905,-.26,-.29,-.21,-.41,-.07,-.35,-.08,-.23,-.62,-.11,-.03,-.32,-.37,-.33
1906,-.22,-.24,-.20,-.25,-.18,-.23,-.29,-.06,-.39,-.21,-.15,-.20,-.22,-.71
1907,-.38,-.47,-.28,-.59,-.29,-.29,-.60,-.72,-.51,-.31,-.28,-.20,-.37,-1.20
1908,-.42,-.46,-.39,-.48,-.43,-.35,-.27,-.55,-.51,-.42,-.43,-.28,-.48,.68
1909,-.48,-.49,-.46,-.54,-.46,-.44,-.78,-.62,-.43,-.43,-.50,-.37,-.52,-.57
1910,-.43,-.44,-.42,-.42,-.47,-.38,-.61,-.24,-.48,-.47,-.47,-.33,-.45,.16
1911,-.44,-.42,-.45,-.42,-.41,-.48,-.32,-.42,-.46,-.42,-.41,-.44,-.53,.05
1912,-.36,-.46,-.24,-.60,-.17,-.36,-.55,-.79,-.49,-.26,-.07,-.36,-.29,-1.63
1913,-.34,-.42,-.26,-.44,-.27,-.35,-.53,-.33,-.50,-.39,-.13,-.28,-.40,-1.04
1914,-.15,-.19,-.10,-.25,-.06,-.17,-.40,-.16,-.28,-.11,.00,-.15,-.18,-.36
1915,-.14,-.15,-.13,-.24,-.01,-.22,-.62,-.17,-.18,-.02,-.01,-.15,-.23,-1.98
1916,-.36,-.42,-.30,-.37,-.45,-.23,-.51,-.54,-.24,-.50,-.40,-.23,-.17,-1.05
1917,-.46,-.58,-.35,-.50,-.63,-.19,-.85,-.50,-.43,-.70,-.57,-.23,-.09,.06
1918,-.29,-.40,-.19,-.41,-.33,-.14,-1.04,-.27,-.34,-.39,-.27,-.05,-.23,-.28
1919,-.28,-.36,-.20,-.44,-.20,-.22,-.73,-.56,-.30,-.24,-.16,-.14,-.32,.20
1920,-.27,-.31,-.23,-.25,-.25,-.32,-.04,-.20,-.34,-.39,-.12,-.19,-.48,-1.14
1921,-.19,-.12,-.26,.01,-.25,-.30,-.03,.17,-.09,-.30,-.20,-.22,-.38,-.84
1922,-.29,-.28,-.29,-.25,-.32,-.27,-.34,-.40,-.13,-.33,-.32,-.24,-.28,-.28
1923,-.27,-.23,-.30,-.16,-.30,-.33,.14,-.15,-.25,-.33,-.27,-.26,-.41,-.55
1924,-.27,-.19,-.35,-.13,-.26,-.43,.43,-.25,-.22,-.28,-.24,-.39,-.45,-.53
1925,-.22,-.14,-.29,-.04,-.24,-.37,-.10,.18,-.17,-.29,-.20,-.24,-.55,-.86
1926,-.11,.01,-.21,.03,.01,-.40,.55,.16,-.21,.00,.03,-.34,-.45,-.64
1927,-.22,-.14,-.29,-.13,-.16,-.38,.01,-.22,-.12,-.15,-.17,-.30,-.45,-1.38
1928,-.20,-.10,-.29,-.07,-.16,-.39,.70,-.17,-.22,-.15,-.16,-.28,-.48,-2.12
